track,album,year,key,mode,tempo,energy,valence,acousticness,loudness
Don't Panic,Parachutes,2000,9,1,86,0.494,0.421,0.633,-9.6
Shiver,Parachutes,2000,4,1,99,0.681,0.324,0.114,-6.8
Spies,Parachutes,2000,9,0,140,0.535,0.223,0.399,-8.2
Sparks,Parachutes,2000,2,1,101,0.271,0.259,0.796,-11.4
Yellow,Parachutes,2000,11,1,87,0.652,0.285,0.00239,-7.2
Trouble,Parachutes,2000,4,0,138,0.443,0.219,0.412,-8.9
Politik,A Rush of Blood to the Head,2002,4,0,133,0.803,0.253,0.00761,-5.5
In My Place,A Rush of Blood to the Head,2002,11,1,88,0.664,0.319,0.0121,-6.1
God Put a Smile upon Your Face,A Rush of Blood to the Head,2002,2,0,120,0.744,0.415,0.0135,-5.9
The Scientist,A Rush of Blood to the Head,2002,5,1,146,0.442,0.211,0.749,-8.4
Clocks,A Rush of Blood to the Head,2002,4,0,131,0.749,0.522,0.0287,-6.0
Warning Sign,A Rush of Blood to the Head,2002,11,1,94,0.512,0.348,0.204,-7.6
A Whisper,A Rush of Blood to the Head,2002,9,0,150,0.822,0.394,0.00489,-5.2
Square One,X&Y,2005,2,1,105,0.774,0.288,0.00214,-5.4
What If,X&Y,2005,7,1,79,0.583,0.201,0.229,-6.9
White Shadows,X&Y,2005,4,1,126,0.812,0.339,0.00187,-5.1
Fix You,X&Y,2005,11,1,138,0.417,0.132,0.153,-8.7
Talk,X&Y,2005,9,0,124,0.786,0.402,0.00459,-5.3
Speed of Sound,X&Y,2005,2,1,122,0.733,0.348,0.00398,-5.6
The Hardest Part,X&Y,2005,0,1,132,0.688,0.483,0.0311,-6.2
Swallowed in the Sea,X&Y,2005,4,1,120,0.629,0.335,0.0842,-6.7
Twisted Logic,X&Y,2005,9,0,90,0.601,0.242,0.0192,-7.1
Life in Technicolor,Viva la Vida,2008,7,1,133,0.775,0.412,0.0189,-5.4
Cemeteries of London,Viva la Vida,2008,9,0,110,0.688,0.443,0.0821,-6.3
Lost!,Viva la Vida,2008,0,1,89,0.616,0.428,0.312,-6.8
42,Viva la Vida,2008,4,0,148,0.699,0.289,0.191,-6.1
Viva la Vida,Viva la Vida,2008,7,1,138,0.619,0.417,0.0954,-6.9
Violet Hill,Viva la Vida,2008,9,1,99,0.729,0.386,0.0138,-5.8
Strawberry Swing,Viva la Vida,2008,11,1,101,0.674,0.529,0.0421,-6.4
Death and All His Friends,Viva la Vida,2008,2,1,84,0.583,0.348,0.221,-7.2
Every Teardrop Is a Waterfall,Mylo Xyloto,2011,11,1,144,0.895,0.548,0.00219,-4.2
Paradise,Mylo Xyloto,2011,6,1,140,0.678,0.319,0.0561,-6.1
Charlie Brown,Mylo Xyloto,2011,9,1,148,0.837,0.486,0.00312,-4.8
Princess of China,Mylo Xyloto,2011,1,0,133,0.752,0.401,0.0289,-5.3
Up in Flames,Mylo Xyloto,2011,4,1,75,0.412,0.213,0.412,-8.9
Hurts Like Heaven,Mylo Xyloto,2011,11,1,157,0.921,0.612,0.00189,-3.9
Us Against the World,Mylo Xyloto,2011,7,1,92,0.388,0.294,0.688,-9.4
Magic,Ghost Stories,2014,4,0,113,0.516,0.353,0.104,-7.8
Ink,Ghost Stories,2014,9,1,109,0.622,0.446,0.0421,-6.7
True Love,Ghost Stories,2014,6,1,120,0.548,0.328,0.221,-7.2
Midnight,Ghost Stories,2014,2,0,95,0.389,0.198,0.812,-11.2
A Sky Full of Stars,Ghost Stories,2014,7,1,125,0.677,0.502,0.0442,-6.0
Oceans,Ghost Stories,2014,4,1,88,0.312,0.176,0.889,-12.1
O,Ghost Stories,2014,0,1,76,0.288,0.243,0.914,-13.4
Adventure of a Lifetime,A Head Full of Dreams,2015,7,0,112,0.759,0.53,0.0142,-5.1
Hymn for the Weekend,A Head Full of Dreams,2015,6,0,90,0.634,0.442,0.0489,-6.3
A Head Full of Dreams,A Head Full of Dreams,2015,9,1,142,0.812,0.488,0.00612,-4.9
Everglow,A Head Full of Dreams,2015,4,1,120,0.421,0.221,0.542,-8.8
Up&Up,A Head Full of Dreams,2015,7,1,84,0.688,0.502,0.121,-6.1
Birds,A Head Full of Dreams,2015,2,1,148,0.834,0.571,0.00421,-4.6
Amazing Day,A Head Full of Dreams,2015,11,1,74,0.494,0.362,0.388,-7.9
Orphans,Everyday Life,2019,9,1,105,0.798,0.618,0.0212,-5.2
Everyday Life,Everyday Life,2019,0,1,78,0.312,0.288,0.844,-11.8
Arabesque,Everyday Life,2019,4,0,124,0.821,0.402,0.0139,-4.7
Champion of the World,Everyday Life,2019,7,1,92,0.542,0.398,0.212,-7.3
Higher Power,Music of the Spheres,2021,8,0,142,0.856,0.579,0.00891,-4.1
Coloratura,Music of the Spheres,2021,4,1,96,0.548,0.401,0.291,-7.6
My Universe,Music of the Spheres,2021,1,0,105,0.807,0.552,0.0198,-4.4
People of the Pride,Music of the Spheres,2021,9,0,148,0.897,0.488,0.00212,-3.8
Biutyful,Music of the Spheres,2021,6,1,88,0.612,0.472,0.142,-6.2
